x	y	exercise	token	remediation_token	x2	y2	subject	unit	lesson
-46.614349365234375	-8.506537437438965	understanding-logs-as-inverse-exponentials	understanding-logs-as-inverse-exponentials|3.Fillparametersintable	coordinate-plane-word-problems-with-polygons|Perimeter|true	-57.84956741333008	-11.976545333862305	algebra2	exponential-and-logarithmic-functions	introduction-to-logarithms
17.706783294677734	-1.986619472503662	understanding-logs-as-inverse-exponentials	understanding-logs-as-inverse-exponentials|Type1	quadratic-word-problems-factored-form|4.Function(-)|true	27.971412658691406	-68.83080291748047	algebra2	exponential-and-logarithmic-functions	introduction-to-logarithms
-32.80416488647461	6.506567478179932	understanding-logs-as-inverse-exponentials	understanding-logs-as-inverse-exponentials|1.Plotinverse	naming-the-whole|Samenumerator|false	8.61241340637207	8.632088661193848	algebra2	exponential-and-logarithmic-functions	introduction-to-logarithms
18.32859992980957	-19.74955177307129	understanding-logs-as-inverse-exponentials	understanding-logs-as-inverse-exponentials|0	circles_and_arcs|0|true	59.20926284790039	9.14886474609375	algebra2	exponential-and-logarithmic-functions	introduction-to-logarithms
-43.691802978515625	-1.5687416791915894	understanding-logs-as-inverse-exponentials	understanding-logs-as-inverse-exponentials|2.Rewritelogtoexpandexptolog	adding-and-subtracting-fractions-with-unlike-denominators-word-problems|Add|true	24.810667037963867	8.75306510925293	algebra2	exponential-and-logarithmic-functions	introduction-to-logarithms
7.089573383331299	-38.7584114074707	triangle_inequality_theorem	triangle_inequality_theorem|0	constructing-and-interpreting-absolute-value|0|true	65.78917694091797	15.292159080505371	geometry	hs-geo-foundations	hs-geo-polygons
19.814437866210938	-36.55607604980469	triangle_inequality_theorem	triangle_inequality_theorem|problem-type-2	interpret-multiplying-fraction-and-whole-number-word-problems|Rectangles|false	15.546310424804688	-25.661405563354492	geometry	hs-geo-foundations	hs-geo-polygons
6.608412742614746	-38.93308639526367	triangle_inequality_theorem	triangle_inequality_theorem|Type3	relative-position-on-the-coordinate-plane|0|true	62.68446731567383	17.38286590576172	geometry	hs-geo-foundations	hs-geo-polygons
22.08587646484375	19.010974884033203	triangle_inequality_theorem	triangle_inequality_theorem|Type2	shaded_areas|Type2-dup|true	33.66318130493164	15.343329429626465	geometry	hs-geo-foundations	hs-geo-polygons
21.791580200195312	17.25507926940918	triangle_inequality_theorem	triangle_inequality_theorem|Type1	limits-at-infinity-where-f-x--is-unbounded|0|true	56.09506607055664	-10.457603454589844	geometry	hs-geo-foundations	hs-geo-polygons
22.01153564453125	18.833412170410156	triangle_inequality_theorem	triangle_inequality_theorem|problem-type-21	angles_2|Type2|false	30.227094650268555	14.63783073425293	geometry	hs-geo-foundations	hs-geo-polygons
