x	y	exercise	response	token	subject	unit	lesson
-30.702239990234375	16.875030517578125	addition_1	true	addition_1|problem-type-0|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-30.859651565551758	16.72471046447754	addition_1	false	addition_1|problem-type-0|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
85.17625427246094	31.8022403717041	addition_1	true	addition_1|0|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
35.56322479248047	32.92230224609375	addition_1	true	addition_1|Type1|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
35.62390899658203	32.97655487060547	addition_1	true	addition_1|Type3|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
35.67654800415039	33.00749206542969	addition_1	true	addition_1|Addition|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
35.77152633666992	33.067779541015625	addition_1	true	addition_1|Type2|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
29.812355041503906	23.716938018798828	addition_1	true	addition_1|Type1(10-frame)|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
29.100399017333984	23.724327087402344	addition_1	false	addition_1|Type3|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
75.46617889404297	-11.5072603225708	addition_1	false	addition_1|0|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
29.02421760559082	23.361276626586914	addition_1	false	addition_1|Type1|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
29.256507873535156	23.333364486694336	addition_1	true	addition_1|Type2(numberbond)|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
28.94150161743164	23.12238883972168	addition_1	false	addition_1|Addition|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-27.179853439331055	-35.43242263793945	addition_1	true	addition_1|Distinctsets|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
28.64926528930664	22.245344161987305	addition_1	false	addition_1|Type2|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-20.96298599243164	-61.747013092041016	addition_1	true	addition_1|A|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-21.76642608642578	-60.67503356933594	addition_1	true	addition_1|Circles|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-1.2232940196990967	-63.794525146484375	addition_1	false	addition_1|Type1(10-frame)|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-0.7728602290153503	-63.4566535949707	addition_1	true	addition_1|Type4|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-12.54692268371582	-55.41234588623047	addition_1	true	addition_1|Making5|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-22.000202178955078	-59.78179168701172	addition_1	true	addition_1|RelativePositionT1|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-14.61323070526123	-57.64801025390625	addition_1	true	addition_1|Numbersto100|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-1.1547807455062866	-63.99123764038086	addition_1	false	addition_1|Type2(numberbond)|false	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-14.094998359680176	-54.52823257446289	addition_1	true	addition_1|Random|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-24.991939544677734	-58.372196197509766	addition_1	true	addition_1|Longer|true	arithmetic	arith-review-add-subtract	arith-review-basic-add-subtract
-9.813437461853027	47.91248321533203	square_roots	true	square_roots|Type1|true	algebra	rational-exponents-and-radicals	alg1-radicals
-9.813437461853027	47.91248321533203	square_roots	true	square_roots|Type1|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
-9.694165229797363	47.925724029541016	square_roots	false	square_roots|Type1|false	algebra	rational-exponents-and-radicals	alg1-radicals
-9.694165229797363	47.925724029541016	square_roots	false	square_roots|Type1|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
76.41205596923828	42.25482940673828	square_roots	true	square_roots|0|true	algebra	rational-exponents-and-radicals	alg1-radicals
76.41205596923828	42.25482940673828	square_roots	true	square_roots|0|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
71.47218322753906	3.4872548580169678	square_roots	false	square_roots|0|false	algebra	rational-exponents-and-radicals	alg1-radicals
71.47218322753906	3.4872548580169678	square_roots	false	square_roots|0|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.93800354003906	14.936117172241211	square_roots	false	square_roots|1.Normal|false	algebra	rational-exponents-and-radicals	alg1-radicals
51.93800354003906	14.936117172241211	square_roots	false	square_roots|1.Normal|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.933441162109375	14.877650260925293	square_roots	true	square_roots|1.Normal|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.933441162109375	14.877650260925293	square_roots	true	square_roots|1.Normal|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
53.66244125366211	14.610478401184082	square_roots	true	square_roots|problem-type-0|true	algebra	rational-exponents-and-radicals	alg1-radicals
53.66244125366211	14.610478401184082	square_roots	true	square_roots|problem-type-0|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
52.71981430053711	14.461090087890625	square_roots	true	square_roots|Type3|true	algebra	rational-exponents-and-radicals	alg1-radicals
52.71981430053711	14.461090087890625	square_roots	true	square_roots|Type3|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.7835807800293	14.296603202819824	square_roots	true	square_roots|Compare|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.7835807800293	14.296603202819824	square_roots	true	square_roots|Compare|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
53.672298431396484	14.665637969970703	square_roots	true	square_roots|Challengeproblems|true	algebra	rational-exponents-and-radicals	alg1-radicals
53.672298431396484	14.665637969970703	square_roots	true	square_roots|Challengeproblems|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
53.099605560302734	14.421438217163086	square_roots	false	square_roots|problem-type-0|false	algebra	rational-exponents-and-radicals	alg1-radicals
53.099605560302734	14.421438217163086	square_roots	false	square_roots|problem-type-0|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.78722381591797	14.265435218811035	square_roots	true	square_roots|Matchsubstitution|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.78722381591797	14.265435218811035	square_roots	true	square_roots|Matchsubstitution|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.79689025878906	14.295263290405273	square_roots	true	square_roots|0or1Base|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.79689025878906	14.295263290405273	square_roots	true	square_roots|0or1Base|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.696571350097656	14.173739433288574	square_roots	true	square_roots|2Power|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.696571350097656	14.173739433288574	square_roots	true	square_roots|2Power|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.49516677856445	13.92060375213623	square_roots	true	square_roots|Evaluatemultistep|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.49516677856445	13.92060375213623	square_roots	true	square_roots|Evaluatemultistep|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
52.91143798828125	14.301176071166992	square_roots	true	square_roots|Type2-Terminating|true	algebra	rational-exponents-and-radicals	alg1-radicals
52.91143798828125	14.301176071166992	square_roots	true	square_roots|Type2-Terminating|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.53944778442383	13.956185340881348	square_roots	true	square_roots|Onevariable|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.53944778442383	13.956185340881348	square_roots	true	square_roots|Onevariable|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
51.57838439941406	13.937520980834961	square_roots	true	square_roots|Twovariables|true	algebra	rational-exponents-and-radicals	alg1-radicals
51.57838439941406	13.937520980834961	square_roots	true	square_roots|Twovariables|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
72.53987884521484	-23.617034912109375	square_roots	true	square_roots|Squareandcuberootsofdecimalsandfractions|true	algebra	rational-exponents-and-radicals	alg1-radicals
72.53987884521484	-23.617034912109375	square_roots	true	square_roots|Squareandcuberootsofdecimalsandfractions|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
52.72921371459961	14.120282173156738	square_roots	false	square_roots|Challengeproblems|false	algebra	rational-exponents-and-radicals	alg1-radicals
52.72921371459961	14.120282173156738	square_roots	false	square_roots|Challengeproblems|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
72.46865844726562	-23.63981819152832	square_roots	true	square_roots|Type2|true	algebra	rational-exponents-and-radicals	alg1-radicals
72.46865844726562	-23.63981819152832	square_roots	true	square_roots|Type2|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
72.51128387451172	-23.668222427368164	square_roots	true	square_roots|1.Evaluatesquarerootoffraction|true	algebra	rational-exponents-and-radicals	alg1-radicals
72.51128387451172	-23.668222427368164	square_roots	true	square_roots|1.Evaluatesquarerootoffraction|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
72.44731903076172	-23.59999656677246	square_roots	false	square_roots|Type3|false	algebra	rational-exponents-and-radicals	alg1-radicals
72.44731903076172	-23.59999656677246	square_roots	false	square_roots|Type3|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
72.5277099609375	-23.846006393432617	square_roots	false	square_roots|Type2-Terminating|false	algebra	rational-exponents-and-radicals	alg1-radicals
72.5277099609375	-23.846006393432617	square_roots	false	square_roots|Type2-Terminating|false	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
72.52778625488281	-23.724660873413086	square_roots	true	square_roots|2.Evaluatesquarerootofdecimal|true	algebra	rational-exponents-and-radicals	alg1-radicals
72.52778625488281	-23.724660873413086	square_roots	true	square_roots|2.Evaluatesquarerootofdecimal|true	pre-algebra	pre-algebra-exponents-radicals	pre-algebra-square-roots
