execise,Subject,unit,lesson,Id
constructing-proportions-to-solve-application-problems,enem,conhecimentos-numericos,razoes-proporcoes,xc131681e
finding_percents,enem,conhecimentos-numericos,porcentagem-juros,xc4532d76
geometric_sequences_1,enem,conhecimentos-numericos,sequencias-progressoes-principios-contagem,1383425796
direct_and_inverse_variation,enem,conhecimentos-numericos,relacoes-dependencia-grandezas,23890555
discount_tax_and_tip_word_problems,enem,conhecimentos-numericos,porcentagem-juros,594289413
arithmetic_series,enem,conhecimentos-numericos,sequencias-progressoes-principios-contagem,1383472697
writing_proportions,enem,conhecimentos-numericos,razoes-proporcoes,201421177
arithmetic_sequences_1,enem,conhecimentos-numericos,sequencias-progressoes-principios-contagem,1383501473
ratio_word_problems,enem,conhecimentos-numericos,razoes-proporcoes,201415654
linear_equations_2,enem,conhecimentos-algebricos,equacoes-inequacoes,3016
interpretting-solving-linear-inequalities,enem,conhecimentos-algebricos,equacoes-inequacoes,x8fd64f51
range_of_a_function,enem,conhecimentos-algebricos,graficos-funcoes,47889342
solving_quadratics_by_taking_the_square_root,enem,conhecimentos-algebricos,funcoes-algebricas-1-2-graus,617819647
quadratic_equation,enem,conhecimentos-algebricos,funcoes-algebricas-1-2-graus,2020
domain_of_a_function,enem,conhecimentos-algebricos,graficos-funcoes,2025
one_step_inequalities,enem,conhecimentos-algebricos,equacoes-inequacoes,205299729
rewriting-expressions-to-reveal-information,enem,conhecimentos-algebricos,funcoes-algebricas-1-2-graus,x9d774d82
solving_similar_triangles_1,enem,conhecimentos-geometricos,congruencia-semelhanca-triangulos,575147721
applying-right-triangles,enem,conhecimentos-geometricos,trigonometria-angulo-agudo,xf3c439ef
pythagorean_theorem_2,enem,conhecimentos-geometricos,trigonometria-angulo-agudo,3034
nets-of-3d-figures,enem,conhecimentos-geometricos,figuras-geometricas-planas-espaciais,xe57344e5
recognizing-shapes,enem,conhecimentos-geometricos,figuras-geometricas-planas-espaciais,xdced3365
area_of_squares_and_rectangles,enem,conhecimentos-geometricos,comparimentos-areas-volumes,720749512
pythagorean-theorem-word-problems,enem,conhecimentos-geometricos,relacoes-metricas-triangulos,x24844d0b
axis_of_symmetry,enem,conhecimentos-geometricos,simetrias-figuras-planas-espaciais,310282900
volume_2,enem,conhecimentos-geometricos,comparimentos-areas-volumes,x5c621858
attributes-of-shapes,enem,conhecimentos-geometricos,figuras-geometricas-planas-espaciais,x17841746
pythagorean_theorem_1,enem,conhecimentos-geometricos,relacoes-metricas-triangulos,3032
area_of_triangles_1,enem,conhecimentos-geometricos,comparimentos-areas-volumes,920312137
radius_diameter_and_circumference,enem,conhecimentos-algebricos-geometricos,circunferencias,720782619
coordinate-plane-word-problems,enem,conhecimentos-algebricos-geometricos,plano-cartesiano,x9f1166e7
vertical_angles,enem,conhecimentos-algebricos-geometricos,retas,265340597
vertical_angles_2,enem,conhecimentos-algebricos-geometricos,retas,415276545
identifying_points_1,enem,conhecimentos-algebricos-geometricos,plano-cartesiano,702001212
mean_median_and_mode,enem,conhecimentos-estatistica-probabilidade,medidas-tendencia-central,5252991
probability_1,enem,conhecimentos-estatistica-probabilidade,nocoes-pobabilidade,13179429
working-with-units,math1,math1-units,math1-appropriate-units,x7ce61eaf
rate_problems_2,math1,math1-units,math1-word-problems-with-multiple-units,297910578
units,math1,math1-units,math1-word-problems-with-multiple-units,3020
appropriate-units,math1,math1-units,math1-appropriate-units,x4a58e4aadd864ff4
rate-conversion,math1,math1-units,math1-rate-conversion,xb91ae3b639fff131
comparing-populations,math1,math1-data-dist,math1-comparing-dist,x261dfdd0
effects-of-shifting-adding-removing-data-point,math1,math1-data-dist,math1-summarizing-center,x941f8d83
analyzing-data-with-box-plots,math1,math1-data-dist,math1-box-whisker,xe7faa189
shape-of-distributions,math1,math1-data-dist,math1-dist-display,xf8cb9e89
creating-histograms,math1,math1-data-dist,math1-dist-display,xf036b7d7
reading-histograms,math1,math1-data-dist,math1-dist-display,x7581091f
interpreting-quartiles-on-box-plots,math1,math1-data-dist,math1-box-whisker,x5c914207
mean_median_and_mode,math1,math1-data-dist,math1-summarizing-center,5252991
creating-dot-plots,math1,math1-data-dist,math1-dist-display,x5397b016
box-plots,math1,math1-data-dist,math1-box-whisker,x8c941e1f
find-a-missing-value-given-the-mean,math1,math1-data-dist,math1-summarizing-center,xca846db7
analyzing-with-dot-plots,math1,math1-data-dist,math1-dist-display,x9def841d
positive_and_negative_parts_of_functions,math1,math1-functions,math1-positive-negative-increasing-decreasing-intervals,1425290397
interpret-features-func-2,math1,math1-functions,math1-interpreting-features-of-graphs,x4d40c957
functions_1,math1,math1-functions,math1-evaluating-functions,3030
evaluate-functions-from-their-graph,math1,math1-functions,math1-evaluating-functions,x07593bbf
avg-rate-of-change-graphs-tables,math1,math1-functions,math1-functions-average-rate-of-change,xb88595ea316fb6fc
avg-rate-of-change,math1,math1-functions,math1-functions-average-rate-of-change,x298c95d2
domain_and_range_0.5,math1,math1-functions,math1-domain-and-range,371794641
recognize-maxima-and-minima,math1,math1-functions,math1-maximum-and-minimum-points,x89d1c86b
functions_2,math1,math1-functions,math1-evaluating-functions,3035
match-inputs-to-outputs-from-a-graph,math1,math1-functions,math1-function-inputs-and-outputs,x477bf943
functions-from-equations,math1,math1-functions,math1-functions-and-equations,x19f363fe
function-notation-in-context,math1,math1-functions,math1-interpreting-function-notation,x67172a35
increasing-decreasing-intervals-of-functions,math1,math1-functions,math1-positive-negative-increasing-decreasing-intervals,x2c2dd2c6
interpreting-domain,math1,math1-functions,math1-determining-the-domain-of-a-function,x7a32df87
functions_matching_inputs_outputs,math1,math1-functions,math1-function-inputs-and-outputs,x950c5dc1
average-rate-of-change-word-problems,math1,math1-functions,math1-average-rate-of-change-word-problems,x36529ebe
domain-of-algebraic-functions,math1,math1-functions,math1-determining-the-domain-of-a-function,xff2c6ec0
recog-func-2,math1,math1-functions,math1-recognizing-functions,xe3f06745
recognizing_functions,math1,math1-functions,math1-recognizing-functions,xe051d459
recognize-absolute-maxima-and-minima,math1,math1-functions,math1-maximum-and-minimum-points,x6a1e5b88
recursive_explicit,math1,math1-sequences,math1-modeling-with-sequences,x9eaf696f
arithmetic_sequences_1,math1,math1-sequences,math1-introduction-to-arithmetic-squences,1383501473
evaluating-sequences-in-recursive-form,math1,math1-sequences,math1-general-sequences,x5fc169b5
geometric_sequences_1,math1,math1-sequences,math1-introduction-to-geometric-sequences,1383425796
arithmetic_sequences_2,math1,math1-sequences,math1-introduction-to-arithmetic-squences,1383308880
explicit-formulas-for-arithmetic-sequences,math1,math1-sequences,math1-constructing-arithmetic-sequences,xcc6cb393
extend-geometric-sequences-negatives-fractions,math1,math1-sequences,math1-introduction-to-geometric-sequences,x8af56baf4a0cdf5a
geometric_sequences_2,math1,math1-sequences,math1-introduction-to-geometric-sequences,1383464822
recursive-formulas-for-geometric-sequences,math1,math1-sequences,math1-constructing-geometric-sequences,x426bd96c
sequences-as-functions,math1,math1-sequences,math1-constructing-geometric-sequences,x65c67654
explicit-and-recursive-formulas-of-geometric-sequences,math1,math1-sequences,math1-constructing-geometric-sequences,x7e493f89
explicit-and-recursive-formulas-of-arithmetic-sequences,math1,math1-sequences,math1-constructing-arithmetic-sequences,x24b7de33
recursive-formulas-for-arithmetic-sequences,math1,math1-sequences,math1-constructing-arithmetic-sequences,x1a16d98e
congruent_triangles_2,math1,math1-congruence,math1-working-with-triangles,251580500
exploring-rigid-transformations-and-congruence,math1,math1-congruence,math1-trans-and-congruence,x70bbe456
congruent_triangles_1,math1,math1-congruence,math1-triangle-congruence,251567894
triangle_angles_1,math1,math1-congruence,math1-working-with-triangles,251591675
converting_between_slope_intercept_and_standard_form,math1,math1-two-var-eq,math1-standard-form,348018382
writing-the-equation-of-a-line-in-any-form,math1,math1-two-var-eq,math1-forms-of-two-var-linear-equations,xa741f1d3
horizontal-and-vertical-lines,math1,math1-two-var-eq,hor-and-ver-lines-math1,x32d7acad886f84bf
graph-from-standard-form-equation,math1,math1-two-var-eq,math1-standard-form,x1dbc2c3b
graph-from-slope-intercept-equation,math1,math1-two-var-eq,math1-graphing-slope-intercept-equations,x5276cbb9
slope-from-an-equation-in-standard-form,math1,math1-two-var-eq,math1-forms-of-two-var-linear-equations,xa7ed1000
intercepts-from-table,math1,math1-two-var-eq,math1-x-and-y-intercepts,x210b7536
slope-from-a-graph,math1,math1-two-var-eq,math1-slope,x5106980e
converting_between_point_slope_and_slope_intercept,math1,math1-two-var-eq,math1-point-slope,523015520
graphing-solutions-to-two-variable-linear-equations,math1,math1-two-var-eq,math1-solutions-to-two-var-linear-equations,xca68546c
slope-intercept-equation-from-graph,math1,math1-two-var-eq,math1-writing-slope-intercept-equations,x9243e3be
solving_for_the_x-intercept,math1,math1-two-var-eq,math1-x-and-y-intercepts,371630407
slope-from-an-equation-in-slope-intercept-form,math1,math1-two-var-eq,math1-slope-intercept-form,x098c8f08
plugging_in_values,math1,math1-two-var-eq,math1-solutions-to-two-var-linear-equations,371628196
slope-intercept-equation-from-two-points,math1,math1-two-var-eq,math1-writing-slope-intercept-equations,x2ea83e06
linear-function-intercepts,math1,math1-two-var-eq,math1-x-and-y-intercepts,x0c785dda
slope-from-two-points,math1,math1-two-var-eq,math1-slope,x16af7528
plotting_the_line_of_best_fit,math1,math1-scatterplots,math1-trend-lines,917310246
correlation-coefficient-intuition,math1,math1-scatterplots,math1-creating-scatterplots,xe9599edd
interpreting-scatter-plots,math1,math1-scatterplots,math1-creating-scatterplots,x6209d2ce
interpreting-slope-and-y-intercept-of-lines-of-best-fit,math1,math1-scatterplots,math1-trend-lines,xb2957fad
linear-models-of-bivariate-data,math1,math1-scatterplots,math1-trend-lines,x2fd3ad4e
constructing-scatter-plots,math1,math1-scatterplots,math1-creating-scatterplots,xd167ef1b
equations-of-lines-of-best-fit-to-make-predictions,math1,math1-scatterplots,math1-trend-lines,x134ead99
making-good-scatter-plots,math1,math1-scatterplots,math1-creating-scatterplots,x7a7ce27f
positive-and-negative-linear-correlations-from-scatter-plots,math1,math1-scatterplots,math1-creating-scatterplots,x3f87a497
compare-expressions-with-unknown-variables-word-problems,math1,math1-two-var-ineq,math1-modeling-with-linear-inequalities,x5e3f8a47
graphs_of_inequalities,math1,math1-two-var-ineq,math1-graphing-inequalities,1080939128
modeling-constraints,math1,math1-two-var-ineq,math1-modeling-with-linear-inequalities,x6b062a2e
graphing_systems_of_inequalities_2,math1,math1-two-var-ineq,math1-graphing-inequalities,426657621
checking-solutions-to-two-var-inequalities,math1,math1-two-var-ineq,math1-checking-solutions-of-inequalities,x51cd05da
graphing_inequalities_2,math1,math1-two-var-ineq,math1-graphing-inequalities,379074129
checking-solutions-to-systems-of-inequalities,math1,math1-two-var-ineq,math1-checking-solutions-of-inequalities,x95125354
modeling-systems-of-linear-inequalities,math1,math1-two-var-ineq,math1-modeling-with-linear-inequalities,xfffd1621
graphically-check-solutions-to-inequalities,math1,math1-two-var-ineq,math1-checking-solutions-of-inequalities,x5fe6e9aa
systems_of_equations_with_substitution,math1,math1-systems-of-eq,math1-solving-systems-of-equations-with-substitution,426633747
systems_of_equations_with_elimination,math1,math1-systems-of-eq,math1-equivalent-systems-of-equations,426688097
verifying-solutions-to-systems-of-equations,math1,math1-systems-of-eq,math1-introduction-to-systems-of-linear-equations,xf9d33a27
systems_of_equations,math1,math1-systems-of-eq,math1-solving-any-system-of-linear-equations,3017
structure-in-expressions-1,math1,math1-systems-of-eq,math1-manipulating-expressions-with-unknown-variables,x1b8ce04c
constructing-consistent-and-inconsistent-system,math1,math1-systems-of-eq,math1-possible-number-of-solutions-of-systems-of-linear-equations,xb99abb79
graphical-solutions-to-systems,math1,math1-systems-of-eq,math1-possible-number-of-solutions-of-systems-of-linear-equations,x62f8a7e5
age_word_problems,math1,math1-systems-of-eq,math1-systems-of-linear-equations-word-problems,2014
graphing_systems_of_equations,math1,math1-systems-of-eq,math1-introduction-to-systems-of-linear-equations,357485849
systems_of_equations_with_elimination_0.5,math1,math1-systems-of-eq,math1-equivalent-systems-of-equations,426672506
systems-of-equations-word-problems-capstone,math1,math1-systems-of-eq,math1-systems-of-linear-equations-word-problems,x839632254804a8c8
understanding-systems-of-equations-word-problems,math1,math1-systems-of-eq,math1-systems-of-linear-equations-word-problems,x457f20a9
understanding-solution-methods-to-systems-of-equations,math1,math1-systems-of-eq,math1-equivalent-systems-of-equations,x8ba1b9d0
reading-two-way-relative-frequency-tables,math1,math1-two-way-tables,math1-relative-frequency,xa61a478b
reading-two-way-frequency-tables,math1,math1-two-way-tables,math1-frequency-tables,x149357e6
two-way-frequency-tables,math1,math1-two-way-tables,math1-frequency-tables,x0aab200f
frequencies-of-bivariate-data,math1,math1-two-way-tables,math1-relative-frequency,x0dfbf691
two-way-relative-frequency-tables,math1,math1-two-way-tables,math1-relative-frequency,xfa746e47
multistep_equations_with_distribution,math1,math1-one-var-eq-ineq,math1-equations-with-parentheses,1106131470
complete-equations-according-to-solutions,math1,math1-one-var-eq-ineq,math1-number-of-solutions-to-linear-equations,x7a036a2f
linear_equations_3,math1,math1-one-var-eq-ineq,math1-variables-on-both-sides,3022
variables-on-both-sides-rational,math1,math1-one-var-eq-ineq,math1-variables-on-both-sides,xd718d314
compound_inequalities,math1,math1-one-var-eq-ineq,math1-compound-inequalities,237979349
solutions-to-linear-equations,math1,math1-one-var-eq-ineq,math1-number-of-solutions-to-linear-equations,x0c18d180
multi-step-equations-rational,math1,math1-one-var-eq-ineq,math1-equations-with-parentheses,x799738ed
solving_for_a_variable,math1,math1-one-var-eq-ineq,math1-linear-equations-with-unknown-coefficients,13179406
linear_inequalities,math1,math1-one-var-eq-ineq,math1-multi-step-inequalities,3033
symmetry-of-two-dimensional-shapes,math1,math1-transformations,math1-symmetry,x8bd33d7c
defining-translations,math1,math1-transformations,math1-translations,xdf41b006
defining-rotations,math1,math1-transformations,math1-rotations,xfacc58e4
mapping-shapes,math1,math1-transformations,math1-rigid-transformations-overview,x114ce6954e61c9df
reflections-1,math1,math1-transformations,math1-reflections,x53e22195
qualitatively-defining-rigid-transformations,math1,math1-transformations,math1-transformations-definitions,x9ec0c1bd
determine-reflections,math1,math1-transformations,math1-reflections,xdf3a8f05dc7050c2
dilations,math1,math1-transformations,math1-dilations,x9801d788
dilations-preserved-properties,math1,math1-transformations,math1-dilations,xf92c041272da13a0
translations,math1,math1-transformations,math1-translations,xe837b7c1
performing-dilations,math1,math1-transformations,math1-dilations,xa5ae2f47
identify-transformations,math1,math1-transformations,math1-transformations-intro,xbc7109f815e04e37
transformation-preserved-properties,math1,math1-transformations,math1-rigid-transformations-overview,xd2a53a11cb23d3c2
performing-translations-on-the-coordinate-plane,math1,math1-transformations,math1-translations,x73c74d82
analyze-sequences-of-transformations,math1,math1-transformations,math1-transformations-definitions,x164345b8
defining-dilations-2,math1,math1-transformations,math1-dilations,x55264a3a
performing-rotations-on-the-coordinate-plane,math1,math1-transformations,math1-rotations,xc4fb61cc
find-measures-using-rigid-transformations,math1,math1-transformations,math1-rigid-transformations-overview,x83acf06e0bb1fef4
defining-reflections,math1,math1-transformations,math1-reflections,x3f9c30ea
performing-reflections-on-the-coordinate-plane,math1,math1-transformations,math1-reflections,xbdeb6941
rotations-1,math1,math1-transformations,math1-rotations,x69ab4f87
dilations-center,math1,math1-transformations,math1-dilations,xa20ba02138c7d5ba
exponential-vs-linear-growth-warmup,math1,math1-exponential-func,exponential-vs-linear-growth-alg1,x54ac7ba308d5d057
exponential-vs-linear-growth,math1,math1-exponential-func,exponential-vs-linear-growth-alg1,x846b2e9be81a1768
exponential-expressions-word-problems,math1,math1-exponential-func,math1-exponential-expressions,xaf43d3ea5c535bb2
graphs-of-basic-exponential-functions,math1,math1-exponential-func,math1-exponential-decay,x3d8acce9
understanding-linear-and-exponential-models,math1,math1-exponential-func,exponential-vs-linear-growth-alg1,x84d72f79
exponential-growth-vs-decay,math1,math1-exponential-func,math1-exponential-decay,x22289a16e2837d91
exponential-expressions-word-problems-algebraic,math1,math1-exponential-func,math1-exponential-expressions,xcb98e1ddbe5c4b4c
graphing-exponential-growth-intro,math1,math1-exponential-func,math1-graphs-of-exponential-growth,x7112dbb4ce379228
construct-basic-exponential-functions-from-table-or-graph,math1,math1-exponential-func,math1-exponential-functions-from-tables-and-graphs,x18852d2b
interpret-exponential-expressions-word-problems,math1,math1-exponential-func,math1-exponential-expressions,xf3bc9ae2a8c3a7ca
comparing-growth-rates-of-exponentials-and-polynomials,math1,math1-exponential-func,math1-exponential-vs-linear-growth-over-time,xde032092
coordinate-plane-word-problems-with-polygons,math1,math1-analytic-geometry,math1-dist-problems,xf88e76bd
writing-equations-for-parallel-or-perpendicular-lines,math1,math1-analytic-geometry,math1-parallel-perpendicular-eq,x6886eb67
dividing-line-segments,math1,math1-analytic-geometry,math1-dividing-segments,xc9bcc09d
geometry-problems-on-the-coordinate-plane,math1,math1-analytic-geometry,math1-dist-problems,xc0060b75
line_relationships,math1,math1-analytic-geometry,math1-parallel-perpendicular-eq,13179420
find-area-and-perimeter-on-the-coordinate-plane,math1,math1-analytic-geometry,math1-dist-problems,x2a6cc09a
distance_formula,math1,math1-analytic-geometry,math1-distance-and-midpoints,4514693
midpoint_formula,math1,math1-analytic-geometry,math1-distance-and-midpoints,13090861
classifying-lines-as-parallel--perpendicular--or-neither,math1,math1-analytic-geometry,math1-parallel-perpendicular-lines,xe6a773ee
multiplying_radicals,math1,math1-rational-exponents,math1-simplify-radical-expressions,347994616
adding_and_subtracting_radicals,math1,math1-rational-exponents,math1-simplify-radical-expressions,347957645
powers-of-powers-int-exp,math1,math1-rational-exponents,math1-exp-prop-review,x56abe603d0fb90f4
simplify-radicals-and-exponentials,math1,math1-rational-exponents,math1-rational-exp-eval,xd7f28efa
rational-exp-prop-challenge,math1,math1-rational-exponents,math1-rational-exponents-and-the-properties-of-exponents,xecd0a359c9a2d345
manipulating-fractional-exponents,math1,math1-rational-exponents,math1-introduction-to-rational-exponents-and-radicals,x878279d8
exponents_4,math1,math1-rational-exponents,math1-rational-exponents-and-the-properties-of-exponents,196075508
exponents_3,math1,math1-rational-exponents,math1-introduction-to-rational-exponents-and-radicals,3028
exponent_rules,math1,math1-rational-exponents,math1-exp-prop-review,2022
radicals,math1,math1-rational-exponents,math1-radicals,x4d52eb2451884bb6
roots-of-decimals-and-fractions,math1,math1-rational-exponents,math1-radicals,xbce1cca8
properties-of-integer-exponents,math1,math1-rational-exponents,math1-exp-prop-review,xcc8a3261
square_roots,math1,math1-rational-exponents,math1-radicals,720948123
cube_roots,math1,math1-rational-exponents,math1-radicals,720817477
simplifying_radicals,math1,math1-rational-exponents,math1-simplify-radical-expressions,3029
understanding-fractional-exponents,math1,math1-rational-exponents,math1-introduction-to-rational-exponents-and-radicals,x0b465be9
constructing-and-interpreting-linear-functions,math1,math1-linear-word-problems,math1-linear-models-word-problems,x73fba34a
constructing-linear-functions-word-problems,math1,math1-linear-word-problems,math1-constructing-linear-models,x1b1329c0
graphing-linear-functions-word-problems,math1,math1-linear-word-problems,math1-constructing-linear-models,x8e2f5884
comparing-features-of-functions-1,math1,math1-linear-word-problems,math1-comparing-linear-functions,x6ac96cbe
comparing-features-of-functions-0-5,math1,math1-linear-word-problems,math1-comparing-linear-functions,xeaa9303e
interpreting-linear-graphs,math1,math1-linear-word-problems,math1-interpreting-linear-functions,xb1b4893a
interpreting-features-of-linear-functions,math1,math1-linear-word-problems,math1-interpreting-linear-functions,x3ba6829c
interpreting-tables,math1,math1-linear-word-problems,math1-interpreting-linear-functions,x32d1a583
finding-probability,math2,math2-prob,math2-prob-basics,xfe118dde
dependent_probability,math2,math2-prob,math2-mul-rule-dependent,13179407
probability_1,math2,math2-prob,math2-prob-basics,13179429
compound-events,math2,math2-prob,math2-mul-rule-independent,x6ec3cabf
using-probability-to-make-predictions,math2,math2-prob,math2-prob-basics,xda27739f
combinations_1,math2,math2-prob,math2-counting-combinations,937485754
independent_probability,math2,math2-prob,math2-mul-rule-independent,757444186
probability_with_perm_comb,math2,math2-prob,math2-permutations-combinations,956845911
understanding-probability,math2,math2-prob,math2-prob-basics,x6e17e818
probability-models,math2,math2-prob,math2-prob-basics,x718b4591
adding-probability,math2,math2-prob,math2-add-rule,x95059985
graphing_circles_2,math2,math2-conics,math2-expanded-equation-circle,1080890293
equation_of_a_circle_2,math2,math2-conics,math2-expanded-equation-circle,196157133
find-the-features-of-a-circle-from-its-graph,math2,math2-conics,math2-features-of-circle,x17474c4b
equation-of-parabola-from-focus-and-directrix,math2,math2-conics,math2-focus-and-directrix,x1a568d22
write-the-equation-of-a-circle,math2,math2-conics,math2-standard-equation-circle,x702cfec6
graph-a-circle-according-to-its-features,math2,math2-conics,math2-features-of-circle,x25af9c03
graphing_circles,math2,math2-conics,math2-standard-equation-circle,1080859355
equation_of_a_circle_1,math2,math2-conics,math2-standard-equation-circle,196139891
solid_geometry,math2,math2-solids,math2-solids-intro,47840766
volume-word-problems-with-cones--cylinders--and-spheres,math2,math2-solids,math2-solids-intro,x0a326293
surface-and-volume-density-word-problems,math2,math2-solids,math2-density,xd6334ca4
rotate-2d-shapes-to-make-3d-objects,math2,math2-solids,math2-2d-vs-3d,xa709715a
cross-sections-of-3d-shapes,math2,math2-solids,math2-2d-vs-3d,x17bfddf4
slicing-3d-figures,math2,math2-solids,math2-2d-vs-3d,x744a1e17
inscribed_angles_1,math2,math2-circles,math2-inscribed-angles,333650286
arc-measure-with-equations,math2,math2-circles,math2-arc-measures,x63e3cab4
central--inscribed--and-circumscribed-angles,math2,math2-circles,math2-tangents,x08222be0
degrees_to_radians,math2,math2-circles,math2-radians-intro,47770341
areas_of_circles_and_sectors,math2,math2-circles,math2-sectors,899081489
inscribed-angle-problem-solving,math2,math2-circles,math2-inscribed-shapes,x2b9630b3
circles_and_arcs,math2,math2-circles,math2-arc-length-deg,899036662
inscribed-quadrilaterals,math2,math2-circles,math2-inscribed-shapes,xb099b60e
cc-radians-and-arc-length,math2,math2-circles,math2-arc-length-rad,xf26418ac
arc-measure,math2,math2-circles,math2-arc-measures,x80290437
manipulating-formulas,math2,math2-modeling,math2-formulas,xd8a2ae67
modeling-with-one-variable-equations-and-inequalities,math2,math2-modeling,math2-one-var-modeling,x6c2f57c8
graphing-quadratics-in-factored-form-warmup,math2,math2-quadratics,math2-factored-form,x9a4883b4e4867559
warmup-features-of-quadratic-functions,math2,math2-quadratics,math2-quadratics-features,x4217ddced04a2b8a
quadratic-word-problems-factored-form,math2,math2-quadratics,math2-factored-form,xefd4ae072d87bb89
compare-properties-quadratic-functions,math2,math2-quadratics,math2-quadratics-features,x976c0ca8
completing_the_square_2,math2,math2-quadratics,math2-completing-the-square,369017708
solve-quadratics-by-taking-square-roots-intro,math2,math2-quadratics,math2-quadratics-square-root,x82ed867a447d25ba
graphing_parabolas_0.5,math2,math2-quadratics,math2-quad-standard-form,643163590
graphing-quadratics-in-vertex-form-warmup,math2,math2-quadratics,math2-vertex-form,x1a6cc7151ecf1072
solving-quadratics-by-using-structure,math2,math2-quadratics,math2-quadratic-eq-factoring,x50b06713
graph-quadratic-functions-in-factored-form,math2,math2-quadratics,math2-factored-form,xcf85ac7f
graphing_parabolas_2,math2,math2-quadratics,math2-quadratics-features,617787563
zero-product-property,math2,math2-quadratics,math2-factored-form,xfb95b052ba73cf6e
completing_the_square_1,math2,math2-quadratics,math2-completing-the-square,369016246
understanding-the-equation-solving-process,math2,math2-quadratics,math2-quadratics-square-root,xee0c0511
determine-the-number-of-solutions-of-a-quadratic-equation,math2,math2-quadratics,math2-quadratic-formula,x61b3d489
completing_the_square_in_quadratic_expressions,math2,math2-quadratics,math2-completing-the-square,x7f7826ab
stretch-and-shrink-parabolas,math2,math2-quadratics,math2-transforming-quadratics,x4a066e538d4d6435
graphing_parabolas_1,math2,math2-quadratics,math2-vertex-form,617781850
quadratic-word-problems-vertex-form,math2,math2-quadratics,math2-vertex-form,xc35229b6318428ca
solving_quadratics_by_factoring,math2,math2-quadratics,math2-quadratic-eq-factoring,3024
quadratic_equation,math2,math2-quadratics,math2-quadratic-formula,2020
parabolas-intro,math2,math2-quadratics,math2-parabolas-intro,xdd647b3fba99058a
key-features-quadratics,math2,math2-quadratics,math2-quad-standard-form,x2df52758
solving_quadratics_by_factoring_2,math2,math2-quadratics,math2-quadratic-eq-factoring,541520116
rewriting-expressions-to-reveal-information,math2,math2-quadratics,math2-quadratics-features,x9d774d82
shift-parabolas,math2,math2-quadratics,math2-transforming-quadratics,xff38a0b5aa49b4d2
identifying-and-using-quadratic-forms,math2,math2-quadratics,math2-quadratics-features,xb0bc7249
solving_quadratics_by_taking_the_square_root,math2,math2-quadratics,math2-quadratics-square-root,617819647
quadratics-by-taking-square-roots-with-steps,math2,math2-quadratics,math2-quadratics-square-root,xd26d1396939ad5f0
angle_bisector_theorem,math2,math2-similarity,math2-angle-bisector-theorem,251597535
solving-problems-with-similar-and-congruent-triangles,math2,math2-similarity,math2-similar-and-congruent-triangles,x1cc28f9b
similar_triangles_1,math2,math2-similarity,math2-triangle-similarity-intro,251603956
solving_similar_triangles_2,math2,math2-similarity,math2-solving-similar-triangles,729523853
exploring-angle-preserving-transformations-and-similarity,math2,math2-similarity,math2-similarity-definitions,xd977e63d
solving_similar_triangles_1,math2,math2-similarity,math2-solving-similar-triangles,575147721
similar_triangles_2,math2,math2-similarity,math2-triangle-similarity-intro,574955549
the_complex_plane,math2,math2-complex-num,math2-complex-plane,523235921
complex_plane_operations,math2,math2-complex-num,math2-add-sub-complex-num,1383488718
real-and-imaginary-parts-of-complex-numbers,math2,math2-complex-num,math2-complex-num-intro,xb3d424b7
simplify-square-roots-of-negative-numbers,math2,math2-complex-num,math2-imaginary-num,x195d12e6
the-imaginary-unit-and-complex-numbers,math2,math2-complex-num,math2-complex-num-intro,xdb649a85
adding_and_subtracting_complex_numbers,math2,math2-complex-num,math2-add-sub-complex-num,523319125
multiplying_complex_numbers,math2,math2-complex-num,math2-mul-complex-num,523337087
multiply-complex-numbers-by-real-or-imaginary-numbers,math2,math2-complex-num,math2-mul-complex-num,x1b885872
imaginary_unit_powers,math2,math2-complex-num,math2-imaginary-num,523254889
recognizing-rational-and-irrational-numbers,math2,math2-irrationals,math2-irrational-num,x4eaeba29
recognizing-rational-and-irrational-expressions,math2,math2-irrationals,math2-sums-products-of-rational-irrational,xac24581e
multiplying_expressions_0.5,math2,math2-polynomials,math2-mul-binomials,617857186
multiply-monomials-by-polynomials-challenge,math2,math2-polynomials,math2-mul-poly-by-monomials,x63466595
multiply-monomials-by-polynomials-intuition,math2,math2-polynomials,math2-mul-poly-by-monomials,xd62e50ef
dividing-polynomials-with-remainders,math2,math2-polynomials,math2-polynomial-div-practice,x8c69a68e
subtract-polynomials,math2,math2-polynomials,math2-add-sub-polynomials,xdeab62b6
finding-special-products,math2,math2-polynomials,math2-binom-special-products,x0597eb78
multiply-binomials-coefficient,math2,math2-polynomials,math2-mul-binomials,xdf27c2f5
adding-and-subtracting-polynomials-2,math2,math2-polynomials,math2-add-sub-poly-two-var,xa157ae82
multiply-binomials-area-model,math2,math2-polynomials,math2-mul-binomials,x74f3df39f921d308
finding-the-product-of-a-monomial-and-a-polynomial,math2,math2-polynomials,math2-mul-poly-by-monomials,x17f3a960
adding_and_subtracting_polynomials,math2,math2-polynomials,math2-add-sub-polynomials,357414238
finding-the-product-of-two-monomials,math2,math2-polynomials,math2-mul-monomials,x6560dbc7
multiplying_expressions_1,math2,math2-polynomials,math2-binom-special-products,3023
divide-polynomials-by-monomials,math2,math2-polynomials,math2-polynomial-div-practice,x6f3dc788
multiply-monomials-challenge,math2,math2-polynomials,math2-mul-monomials,x26ae9916
